M00 F0317 程序暂停
M01 F0304 选择停止
M02 F0305 程序结束
M03 F0300 主轴正转
M04 F0301 主轴反转
M05 F0302 主轴停止
M06 F0303 自动换刀
M08 F0310 冷却液开
M09 F0311 冷却液关
M10 F0312 A轴夹紧
M11 F0313 A轴松开
M16 F0260 主轴松刀指令
M17 F0261 主轴夹刀指令
M18 F0283 取消主轴准停
M19 F0262 主轴准停指令
M22 F0264 机械手动作开始
M26 F0275 启动冲屑水阀
M27 F0276 关闭冲屑水阀
M28 F0323 取消刚性攻丝
M29 F0322 刚性攻丝指令
M30 F0280 程序结束
M35 F0281 启动排屑提升传输器
M36 F0282 关闭排屑提升传输器
M42 F0273 对刀吹气开启
M43 F0274 对刀吹气关闭
M44 F0267 主轴吹气启动
M45 F0270 主轴吹气停止
M46 F0284 探头开启
M47 F0285 探头关闭
M48 F0286 测量模式开启
M49 F0287 测量模式关闭
M50 F0271 自动换刀开始
M51 F0272 自动换刀结束
M56 F0277 刀具表重排
%
X0000     第1轴正向行程限位信号
R0665     手动回换刀位置（第一参考点）指示灯
R0666     主轴空档指令输入
R0670     M代码辅助功能结束信号
R0671     循环启动按键输入
R0676     T代码辅助功能延时完成
R0684     非手轮,非单步,非电子手轮驱动状态
R0685     手动,单步方式检测
R0686     手动,单步,手轮方式检测
R0740     主轴齿轮选择选通信号
R0741     主轴模拟量齿轮延时接通
R0743     主轴I/O点控制延时完成
R0744     换档到位信号
R0745     换档到位中间继电器
R0760     分度工作台松开
R0761     分度工作台松开完成延时
R0762     分度工作台夹紧完成延时
R0763     分度工作台松开检测延时
R0764     分度工作台夹紧检测延时
R0765     分度工作台松开延时完成
R0766     分度工作台夹紧延时完成
R0767     分度工作台松开完成信号
R0770     分度工作台夹紧完成信号
R0772     分度工作台位置检测
R0781     手动夹/松刀控制
R0782     刀具松紧
R0783     主轴刀具松开完成延时
R0784     主轴刀具夹紧完成延时
R0785     主轴刀具松开检测延时
R0786     主轴刀具夹紧检测延时
R0787     主轴停止
R0802     刀套垂直检测
R0803     刀套水平检测
R0804     刀套水平检测上升沿
R0805     刀库回零到位
R0806     主轴定位延时检测
R0807     手动夹/松刀输入
R0810     正转切断,反转延时接通
R0811     反转切断,正转延时接通
R0815     主轴定向完成信号
R0817     手动设置刀库原点
R0820     手动设置刀库原点
R0821     松刀检测
R0822     开启松紧刀装置
R0823     紧刀检测
R0831     刀具表中无指令刀号或指令刀号重复
R0834     循环启动条件
R0836     安全门合上
R0846     寻刀中
R0861     刀库计数/到位
R0862     刀库到位延时接通
R0864     主轴定向完成信号延时检测
R0865     主轴旋转
R0870     刀库旋转输入
R0900     主轴上是否有刀
R0902     主轴与刀库当前的刀号是否相同
R0904     回零,单步,手动,手轮方式检测
R0905     Z轴不允许移动
R0907     Z轴手动回参考点位置条件
R0910     由回零切换到手轮延时接通
R0911     由手轮切换到回零延时接通
R0913     机械手不在原位Z轴移动条件
R0915     手动回换刀位置状态
R0916     刀套水平检测
R0920     主轴定向条件
R0932     紧刀上升沿检测
R0937     松刀上升沿检测
R0940     加工运行中刀库在进刀位置
R0943     手轮开启或者电子手轮驱动功能生效
R0955     主轴点动输入
R0956     主轴点动输入自锁
R0957     主轴点动延时断开
R0960     润滑上升沿
R0965     T代码辅助功能选通信号下降沿
R0981     第4轴回零输入
R0985     刀库回零时按复位自锁
R0986     刀库自锁一个刀位
R0993     T码刀号是否正常
R0996     主轴刀号清零
R1000     旋转刀库的条件
R1001     手动刀库正转按键松开,延时接通反转
R1002     手动刀库反转按键松开,延时接通正转
R1003     手动刀库正转输入
R1004     手动刀库反转输入
R1005     刀库旋转到位信号
R1006     刀库手动正转
R1007     刀库手动反转
R1010     刀库正转中
R1012     刀库反转中
R1013     刀库旋转
R1014     刀库旋转并计数
R1015     刀库计数正反转判断
R1016     刀库旋转计数器
R1017     刀库回零按键信号
R1021     刀库回零完毕信号
R1022     刀库回零旋转保持中间继电器
R1024     刀库旋转中
R1025     刀库停止旋转延迟检测
R1026     刀库旋转未到位延迟检测
R1030     刀库自动旋转
R1031     刀库正反转判断
R1051     指令刀号为0
R1052     换刀条件
R1053     条件满足产生换刀指令脉冲
R1054     自动换刀开始
R1055     自动机械手动作开始
R1056     还刀时的寻刀开始
R1057     还刀时的寻刀开始
R1060     还刀时的寻刀完成
R1061     抓新刀时的寻刀开始
R1063     指令刀号是否等于主轴刀号
R1064     寻刀结束子程序状态
R1072     刀套垂直方向
R1073     刀套垂直自锁
R1074     刀套水平方向
R1075     刀套水平自锁
R1076     刀套垂直延时检测
R1077     刀套水平延时检测
R1082     刀套垂直完成延时
R1083     刀套水平完成延时
R1091     刀套垂直完成
R1100     主轴空档延时完成
R1200     寻刀中
R1203     已找到所寻刀
R1206     刀库自动寻刀中
R1207     自动进刀信号
R1210     刀套垂直完成
R1211     刀套垂直完成
R1212     主轴刀具松开完成
R1213     刀库自动寻刀结束
R1400     清零D104
R1401     刀具表计数标志
R1402     刀具表初始化数据赋值标志
R1403     刀具表初始化截止标志
R1404     主轴刀号清零
R1405     刀具表初始化进行中
R1406     清零R140线圈标志
R1500     刀具功能选通
R1520     把当前刀套刀号暂存D151
R1521     当前刀套刀号是否等于指令刀号
R1526     手动机械手持刀或回零位
R1530     指令刀号等于主轴刀号
R1540     自动机械手动作结束
R1541     复位C50
R1547     z轴返回第一参考点结束保持
R1550     机械手动作开始
R1551     机械手回原点位置下降沿
R1552     机械手交换刀具下降沿
R1553     机械手持刀下降沿
R1556     机械手动作开始下降沿
R1557     自动松刀信号
R1560     机械手计数器C50为0
R1561     机械手计数器C50为1
R1562     机械手计数器C50为2
R1570     机械手持刀
R1571     机械手交换刀具
R1572     机械手回原点位置
R1573     自动机械手动作开始上升沿
R1574     机械手回原点位置上升沿
R1584     手动换刀手交换刀具
R1800     机械手刹车信号
R1801     机械手脱离持刀位置检测信号
R1802     机械手脱离零位检测信号
R1803     机械手刹车信号下降沿
R1806     MT-换刀手
R1807     MT-换刀手上升沿
R1812     机械手零位检测信号上升沿
R1903     进给倍率减触发
R1905     进给倍率加触发
R1906     进给倍率达到最大值200%
R1936     主轴倍率达到最大值120%
R2100     快速倍率编码1中间继电器
R2101     快速倍率编码2中间继电器
R2102     进给倍率为0
R2103     进给倍率为0有效信号
R2104     进给倍率为0有效上升沿
R2105     快速倍率为F0
R5000     梯形图第一次扫描接通
R5110     一直关断
R5111     一直接通
R5116     1秒周期信号
T0001     主轴正转完成延时时间
T0002     主轴反转完成延时时间
T0003     主轴I/O点控制完成延时时间
T0004     主轴定位延时完成时间
T0006     主轴停止后换档延时开始(须大于T29+T34)
T0007     主轴刀具松开完成延时器
T0008     主轴刀具夹紧完成延时器
T0009     主轴刀具松开到位检测时间
T0010     主轴刀具夹紧到位检测时间
T0011     主轴松刀紧刀检测同时导通异常延时时间
T0012     T代码辅助功能延时完成
T0013     主轴定位检测时间
T0014     主轴正转断开,反转延时接通时间
T0015     主轴反转断开,正转延时接通时间
T0016     润滑间隔(单位:分)
T0017     润滑时间(单位:秒)
T0018     主轴定位完成延时检测时间
T0019     主轴点动延时器
T0020     程序再启动信号延时断开时间
T0021     主轴换档到位检测超时时间
T0024     主轴速度位置模式转换检测时间
T0025     M29执行完成时间(无检测开关)
T0027     M28执行完成时间(无检测开关)
T0028     主轴位置速度模式转换检测时间
T0029     M5完成延迟时间
T0034     主轴制动时间
T0035     主轴齿轮换档完成信号延时接通时间
T0036     分度工作台松开完成延时
T0037     分度工作台夹紧完成延时
T0038     分度工作台松开检测延时
T0039     分度工作台夹紧检测延时
T0040     分度头延时夹紧时间
T0041     分中探头开启延时完成
T0051     定向完成延时接通时间
T0080     固定定时器已占用
T0081     固定定时器已占用
T0082     固定定时器已占用
T0100     刀库手动反旋延时接通时间
T0101     刀库手动正旋延时接通时间
T0102     刀库旋转停止延迟检测时间
T0103     刀库旋转延迟检测时间设置1
T0104     刀套垂直延迟检测时间设置
T0105     刀套水平延迟检测时间设置
T0106     刀套垂直完成延时器
T0107     刀套水平完成延时器
T0108     机械手持刀或回零位完成延时检测
T0109     机械手交换刀具完成延时检测
T0110     机械手持刀及回原位延时检测
T0111     机械手下降交换刀具延时检测
T0112
T0113
T0114     刀库到位信号延时接通时间
D0000     主轴刀号显示
D0001     1号刀套刀号
D0002     2号刀套刀号
D0003     3号刀套刀号
D0004     4号刀套刀号
D0005     5号刀套刀号
D0006     6号刀套刀号
D0007     7号刀套刀号
D0008     8号刀套刀号
D0009     9号刀套刀号
D0010     10号刀套刀号
D0011     11号刀套刀号
D0012     12号刀套刀号
D0013     13号刀套刀号
D0014     14号刀套刀号
D0015     15号刀套刀号
D0016     16号刀套刀号
D0017     17号刀套刀号
D0018     18号刀套刀号
D0019     19号刀套刀号
D0020     20号刀套刀号
D0021     21号刀套刀号
D0022     22号刀套刀号
D0023     23号刀套刀号
D0024     24号刀套刀号
D0025     25号刀套刀号
D0026     26号刀套刀号
D0027     27号刀套刀号
D0028     28号刀套刀号
D0029     29号刀套刀号
D0030     30号刀套刀号
D0031     31号刀套刀号
D0032     32号刀套刀号
D0033     33号刀套刀号
D0034     34号刀套刀号
D0035     35号刀套刀号
D0036     36号刀套刀号
D0037     37号刀套刀号
D0038     38号刀套刀号
D0039     39号刀套刀号
D0040     40号刀套刀号
D0041     41号刀套刀号
D0042     42号刀套刀号
D0043     43号刀套刀号
D0044     44号刀套刀号
D0045     45号刀套刀号
D0046     46号刀套刀号
D0047     47号刀套刀号
D0048     48号刀套刀号
D0049     49号刀套刀号
D0050     50号刀套刀号
D0100     刀库容量
D0101     占用
D0102     占用
D0104     占用
D0106     占用
D0107     占用
D0131     占用
D0144     占用
D0150     占用
D0151     占用
D0170     存储C50当前数据
D0241     指令刀号
D0243     当前刀套号
D0245     主轴刀号
C0050     机械手计数
C0100     刀库计数
C0127     附加轴计数
end //
