M00 F0317 程序暂停
M01 F0304 选择停止
M02 F0305 程序结束
M03 F0300 主轴正转
M04 F0301 主轴反转
M05 F0302 主轴停止
M08 F0310 冷却液开
M09 F0311 冷却液关
M10 F0312 A轴夹紧
M11 F0313 A轴松开
M18 F0283 取消主轴准停
M19 F0262 主轴准停指令
M20 F0325 主轴空档指令
M26 F0275 启动冲屑水阀
M27 F0276 关闭冲屑水阀
M28 F0323 取消刚性攻丝
M29 F0322 刚性攻丝指令
M30 F0280 程序结束
M35 F0281 启动排屑提升传输器
M36 F0282 关闭排屑提升传输器
M42 F0273 对刀吹气开启
M43 F0274 对刀吹气关闭
M44 F0267 主轴吹气启动
M45 F0270 主轴吹气停止
M46 F0284 探头开启
M47 F0285 探头关闭
M48 F0286 测量模式开启
M49 F0287 测量模式关闭
%
X0000     第1轴正向行程限位信号
R0904     回零,单步,手动,手轮方式检测
R0905     Z轴不允许移动
R0907     Z轴手动回参考点位置条件
R0910     由回零切换到手轮延时接通
R0911     由手轮切换到回零延时接通
R0913     Z轴手动回第一参考点位置条件
R0915     手动回换刀位置状态
R0916     刀库在进刀位置
R0917     主轴原点位置检测
R0920     主轴定向条件
R0931     紧刀到位上升沿检测
R0932     紧刀上升沿检测
R0936     松刀到位上升沿检测
R0937     松刀上升沿检测
R0940     加工运行中刀库在进刀位置
R0943     手轮方式或电子手轮驱动状态
R0955     主轴点动输入
R0956     主轴点动输入自锁
R0957     主轴点动延时断开
R0960     润滑上升沿
R0981     第4轴回零输入
R0985     刀库回零时按复位自锁
R0986     刀库自动旋转时按复位自锁
R0992     还刀时寻刀完成
R0993     指令刀号正常
R0996     主轴刀号清零
R1000     旋转刀库的条件
R1001     手动刀库正转按键松开,延时接通反转
R1002     手动刀库反转按键松开,延时接通正转
R1003     手动刀库正转输入
R1004     手动刀库反转输入
R1005     刀库旋转到位信号
R1006     刀库手动正转
R1007     刀库手动反转
R1010     刀库正转中
R1012     刀库反转中
R1013     刀库旋转
R1014     刀库旋转并计数
R1015     刀库计数正反转判断
R1016     刀库旋转计数器
R1017     刀库回零按键信号
R1021     刀库回零完毕信号
R1022     刀库回零旋转保持中间继电器
R1024     刀库旋转中
R1025     刀库旋转中延迟检测
R1026     刀库旋转延迟检测
R1030     刀库自动旋转
R1031     刀库正反转判断
R1051     指令刀号为0
R1052     换刀条件
R1053     条件满足产生换刀指令脉冲
R1054     自动换刀开始
R1056     还刀时的寻刀开始
R1057     还刀时的寻刀开始
R1060     还刀时的寻刀完成
R1061     抓新刀时的寻刀开始
R1063     抓新刀时的寻刀完成
R1064     寻刀结束子程序状态
R1070     刀库前进条件
R1071     主轴紧刀检测
R1072     刀库前进输入
R1073     刀库前进自锁
R1074     刀库后退输入
R1075     刀库后退自锁
R1076     刀库进刀延时检测
R1077     刀库退刀延时检测
R1080     刀库前进到位
R1081     刀库后退到位
R1082     刀库进刀完成延时
R1083     刀库退刀完成延时
R1084     主轴自动松刀上升沿
R1085     主轴刀具夹紧完成延时
R1086     主轴夹刀上升沿
R1087     主轴刀具松开完成延时
R1091     主轴自动松刀
R1100     主轴空档延时完成
R1200     寻刀中
R1203     已找到所寻刀
R1206     刀库自动寻刀中
R1207     自动进刀信号
R1210     刀库进刀完成
R1211     刀库进刀完成
R1212     主轴刀具松开完成
R1213     刀库自动寻刀结束
R1906     进给倍率达到最大值200%
R1936     主轴倍率达到最大值120%
R5000     梯形图第一次扫描接通
R5110     一直关断
R5111     一直接通
R5116     1秒周期信号
T0001     主轴正转完成延时时间
T0002     主轴反转完成延时时间
T0003     主轴I/O点控制完成延时时间
T0004     主轴定位延时完成时间
T0006     主轴停止后换档延时开始(须大于T29+T34)
T0007     主轴刀具松开完成延时器
T0008     主轴刀具夹紧完成延时器
T0009     主轴刀具松开到位检测时间
T0010     主轴刀具夹紧到位检测时间
T0011     主轴松刀紧刀检测同时导通异常延时时间
T0012     T代码辅助功能延时完成
T0013     主轴定位检测时间
T0014     主轴正转断开,反转延时接通时间
T0015     主轴反转断开,正转延时接通时间
T0016     润滑间隔(单位:分)
T0017     润滑时间(单位:秒)
T0018     主轴定位完成延时检测时间
T0019     主轴点动延时器
T0020     程序再启动信号延时断开时间
T0021     主轴换档到位检测超时时间
T0024     主轴速度位置模式转换检测时间
T0025     M29执行完成时间(无检测开关)
T0027     M28执行完成时间(无检测开关)
T0028     主轴位置速度模式转换检测时间
T0029     M5完成延迟时间
T0034     主轴制动时间
T0035     主轴齿轮换档完成信号延时接通时间
T0036     分度工作台松开完成延时
T0037     分度工作台夹紧完成延时
T0038     分度工作台松开检测延时
T0039     分度工作台夹紧检测延时
T0040     分度头延时夹紧时间
T0041     分中探头开启延时完成
T0051     定向完成延时接通时间
T0080     固定定时器已占用
T0081     固定定时器已占用
T0082     固定定时器已占用
C0127     附加轴计数
end //
